#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
job_explorer;Explorer;;Erkunder;;;;;;;;;;;x
job_explorer_female;Explorer;;Erkunder;;;;;;;;;;;x
# orc_group;;;;;;;;;;;;;;x
job_chancellor_orc_group;Emmissary;;Botschafter;;;;;;;;;;;x
job_chancellor_female_orc_group;Emmissary;;Botschafter;;;;;;;;;;;x
job_marshal_orc_group;General;;General;;;;;;;;;;;x
job_marshal_female_orc_group;General;;General;;;;;;;;;;;x
job_treasurer_orc_group;Caretaker;;Verwalter;;;;;;;;;;;x
job_treasurer_female_orc_group;Caretaker;;Verwalter;;;;;;;;;;;x
# dalaranian;;;;;;;;;;;;;;x
job_chancellor_dalaranian;Second Counselor;;Zweites Ratsmitglied;;;;;;;;;;;x
job_chancellor_female_dalaranian;Second Counselor;;Zweites Ratsmitglied;;;;;;;;;;;x
job_marshal_dalaranian;Third Counselor;;Drittes Ratsmitglied;;;;;;;;;;;x
job_marshal_female_dalaranian;Third Counselor;;Drittes Ratsmitglied;;;;;;;;;;;x
job_treasurer_dalaranian;Fourth Counselor;;Viertes Ratsmitglied;;;;;;;;;;;x
job_treasurer_female_dalaranian;Fourth Counselor;;Viertes Ratsmitglied;;;;;;;;;;;x
job_spymaster_dalaranian;Fifth Counselor;;Fünftes Ratsmitglied;;;;;;;;;;;x
job_spymaster_female_dalaranian;Fifth Counselor;;Fünftes Ratsmitglied;;;;;;;;;;;x
# high_elf_group;;;;;;;;;;;;;;x
job_marshal_high_elf_group;Ranger-General;;;;;;;;;;;;;x
job_marshal_female_high_elf_group;Ranger-General;;;;;;;;;;;;;x
# night_elf_group;;;;;;;;;;;;;;x
job_treasurer_night_elf_group;Naturalist;;;;;;;;;;;;;x
job_treasurer_female_night_elf_group;Naturalist;;;;;;;;;;;;;x
# job_spiritual - depends on religion only;;;;;;;;;;;;;;x
job_spiritual_arakkoa_religion_group;High Sage;;;;;;;;;;;;;x
job_spiritual_female_arakkoa_religion_group;High Sage;;;;;;;;;;;;;x
job_spiritual_arcane_group;Magister;;;;;;;;;;;;;x
job_spiritual_female_arcane_group;Magistrix;;;;;;;;;;;;;x
job_spiritual_dragon_religion_group;Dragon Priest;;;;;;;;;;;;;x
job_spiritual_female_dragon_religion_group;Dragon Priestess;;;;;;;;;;;;;x
job_spiritual_druidism_group;High Druid;;;;;;;;;;;;;x
job_spiritual_female_druidism_group;High Druidess;;;;;;;;;;;;;x
job_spiritual_kaldorei_religion;Elune Priest;;;;;;;;;;;;;x
job_spiritual_female_kaldorei_religion;Elune Priestess;;;;;;;;;;;;;x
job_spiritual_elemental_lords_group;High Shaman;;;;;;;;;;;;;x
job_spiritual_female_elemental_lords_group;High Shaman;;;;;;;;;;;;;x
job_spiritual_fel_group;High Warlock;;;;;;;;;;;;;x
job_spiritual_female_fel_group;High Warlock;;;;;;;;;;;;;x
job_spiritual_scarlet_light;Court Inquisitor;;;;;;;;;;;;;x
job_spiritual_female_scarlet_light;Court Inquisitor;;;;;;;;;;;;;x
job_spiritual_naaru;High Prelate;;;;;;;;;;;;;x
job_spiritual_female_naaru;High Prelate;;;;;;;;;;;;;x
job_spiritual_lightbound;High Prelate;;;;;;;;;;;;;x
job_spiritual_female_lightbound;High Prelate;;;;;;;;;;;;;x
job_spiritual_loa_group;Witch Doctor;;;;;;;;;;;;;x
job_spiritual_female_loa_group;Witch Doctor;;;;;;;;;;;;;x
job_spiritual_necromancy_group;Cult Master;;;;;;;;;;;;;x
job_spiritual_female_necromancy_group;Cult Master;;;;;;;;;;;;;x
job_spiritual_nerubian_religion_group;Vizier;;;;;;;;;;;;;x
job_spiritual_female_nerubian_religion_group;Nebet;;;;;;;;;;;;;x
job_spiritual_pandaren_religion_group;Elder;;;;;;;;;;;;;x
job_spiritual_female_pandaren_religion_group;Sister;;;;;;;;;;;;;x
job_spiritual_primitive_group;High Shaman;;;;;;;;;;;;;x
job_spiritual_female_primitive_group;High Shaman;;;;;;;;;;;;;x
job_spiritual_secular_group;Court Scholar;;;;;;;;;;;;;x
job_spiritual_female_secular_group;Court Scholar;;;;;;;;;;;;;x
job_spiritual_shamanism_group;High Shaman;;;;;;;;;;;;;x
job_spiritual_female_shamanism_group;High Shaman;;;;;;;;;;;;;
job_spiritual_void_group;Void Priest;;;;;;;;;;;;;x
job_spiritual_female_void_group;Void Priestess;;;;;;;;;;;;;
job_spiritual_vrykul_religion_group;High Sage;;;;;;;;;;;;;x
job_spiritual_female_vrykul_religion_group;High Sage;;;;;;;;;;;;;x
