#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aamsk;Aamsk;Aamsk;Aamsk;;Aamsk;;;;;;;;;x
c_aamsk_adj;Aamskian;aamskienne;aamsker;;;;;;;;;;;x
c_abanreach;Abanreach;Passe d'Aban;Abanreach;;Abanreach;;;;;;;;;x
c_abanreach_adj;Abanreachian;abanienne;abanreacher;;;;;;;;;;;x
c_abassi_coast;Abassi Coast;Côte Abassi;Abassi Coast;;Abassi Coast;;;;;;;;;x
c_abassi_coast_adj;Abassi Coastian;abassienne;Abassi Coaster;;;;;;;;;;;x
c_addle;Addle;Addle;Addle;;Addle;;;;;;;;;x
c_addle_adj;Addlean;addléenne;addler;;;;;;;;;;;x
c_aderic;Aderic;Aderic;Aderic;;Aderic;;;;;;;;;x
c_aderic_adj;Aderician;adericienne;adericer;;;;;;;;;;;x
c_aerie_peak;Aerie Peak;Nid-de-l'Aigle;Aerie Peak;;Aerie Peak;;;;;;;;;x
c_aerie_peak_adj;Aerie Peakian;nid-de-l'aigle;Aerie Peaker;;;;;;;;;;;x
c_aessina;Aessina;Aessina;Aessina;;Aessina;;;;;;;;;x
c_aessina_adj;Aessinan;aessinane;aessiner;;;;;;;;;;;x
c_aessina_2;Aessina;Aessina;Aessina;;Aessina;;;;;;;;;x
c_aessina_2_adj;Aessinan;aessinane;aessiner;;;;;;;;;;;x
c_agamagar;Agamagar;Agamagar;Agamagar;;Agamagar;;;;;;;;;x
c_agamagar_adj;Agamagarian;agamagarienne;agamagarer;;;;;;;;;;;x
c_agamagor;Agama'gor;Agama'gor;Agama'gor;;Agama'gor;;;;;;;;;x
c_agamagor_adj;Agama'gorian;agama'or;agama'gorer;;;;;;;;;;;x
c_agamand;Agamand;Agamand;Agamand;;Agamand;;;;;;;;;x
c_agamand_adj;Agamandian;agamandienne;agamander;;;;;;;;;;;x
c_agneepath;Agneepath;Voie-d'Agnee;Agneepath;;Agneepath;;;;;;;;;x
c_agneepath_adj;Agneepathian;agnéenne;agneepather;;;;;;;;;;;x
c_agolwatha;Agol'watha;Agol'watha;Agol'watha;;Agol'watha;;;;;;;;;x
c_agolwatha_adj;Agol'wathan;agol'watha;agol'wather;;;;;;;;;;;x
c_ahnqiraj;Ahn'qiraj;Ahn'Qiraj;Ahn'qiraj;;Ahn'qiraj;;;;;;;;;x
c_ahnqiraj_adj;Ahn'qirajian;qiraji;ahn'qirajer;;;;;;;;;;;x
c_aiszuldo;Aiszul'do;Aiszul'do;Aiszul'do;;Aiszul'do;;;;;;;;;x
c_aiszuldo_adj;Aiszul'dian;aiszul'do;aiszul'der;;;;;;;;;;;x
c_akhenet;Akhenet;Akhenet;Akhenet;;Akhenet;;;;;;;;;x
c_akhenet_adj;Akhenetian;akhenetienne;akheneter;;;;;;;;;;;x
