#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_ahnqiraj;Ahn'qiraj;Ahn'qiraj;Ahn'qiraj;;Ahn'qiraj;;;;;;;;;x
e_ahnqiraj_adj;Ahn'qirajian;;ahn'qirajer;;;;;;;;;;;x
e_amani;Amani;Amani;Amani;;Amani;;;;;;;;;x
e_amani_adj;Amanian;;amaner;;;;;;;;;;;x
e_arathor_empire;Arathor Empire;Arathor Empire;Arathor Empire;;Arathor Empire;;;;;;;;;x
e_arathor_empire_adj;Arathor Empirean;;Arathor Empirer;;;;;;;;;;;x
e_azeroth;Azeroth;Azeroth;Azeroth;;Azeroth;;;;;;;;;x
e_azeroth_adj;Azerothian;;azerother;;;;;;;;;;;x
e_banshan;Banshan;Banshan;Banshan;;Banshan;;;;;;;;;x
e_banshan_adj;Banshanian;;banshaner;;;;;;;;;;;x
e_drakkari;Drakkari;Drakkari;Drakkari;;Drakkari;;;;;;;;;x
e_drakkari_adj;Drakkarian;;drakkarer;;;;;;;;;;;x
e_eldrethalas;Eldre'thalas;Eldre'thalas;Eldre'thalas;;Eldre'thalas;;;;;;;;;x
e_eldrethalas_adj;Eldre'thalasian;;eldre'thalaser;;;;;;;;;;;x
e_great_barrens;Great Barrens;Great Barrens;Great Barrens;;Great Barrens;;;;;;;;;x
e_great_barrens_adj;Great Barrensian;;Great Barrenser;;;;;;;;;;;x
e_great_borea;Great Borea;Great Borea;Great Borea;;Great Borea;;;;;;;;;x
e_great_borea_adj;Great Borean;;Great Borer;;;;;;;;;;;x
e_gurubashi;Gurubashi;Gurubashi;Gurubashi;;Gurubashi;;;;;;;;;x
e_gurubashi_adj;Gurubashian;;gurubasher;;;;;;;;;;;x
e_kaldorei;Kaldorei;Kaldorei;Kaldorei;;Kaldorei;;;;;;;;;x
e_kaldorei_adj;Kaldorian;;kaldorer;;;;;;;;;;;x
e_kalidar;Kalidar;Kalidar;Kalidar;;Kalidar;;;;;;;;;x
e_kalidar_adj;Kalidarian;;kalidarer;;;;;;;;;;;x
e_kezan;Kezan;Kezan;Kezan;;Kezan;;;;;;;;;x
e_kezan_adj;Kezanian;;kezaner;;;;;;;;;;;x
e_khaz_modan;Khaz Modan;Khaz Modan;Khaz Modan;;Khaz Modan;;;;;;;;;x
e_khaz_modan_adj;Khaz Modanian;;Khaz Modaner;;;;;;;;;;;x
e_kul_tiras;Kul Tiras;Kul Tiras;Kul Tiras;;Kul Tiras;;;;;;;;;x
e_kul_tiras_adj;Kul Tirasian;;Kul Tiraser;;;;;;;;;;;x
e_kun_lai;Kun-Lai;Kun-Lai;Kun-Lai;;Kun-Lai;;;;;;;;;x
e_kun_lai_adj;Kun-Lian;;kun-ler;;;;;;;;;;;x
e_lordaeron;Lordaeron;Lordaeron;Lordaeron;;Lordaeron;;;;;;;;;x
e_lordaeron_adj;Lordaeronian;;lordaeroner;;;;;;;;;;;x
e_nazjatar;Nazjatar;Nazjatar;Nazjatar;;Nazjatar;;;;;;;;;x
e_nazjatar_adj;Nazjatarian;;nazjatarer;;;;;;;;;;;x
e_quelthalas;Quel'thalas;Quel'thalas;Quel'thalas;;Quel'thalas;;;;;;;;;x
e_quelthalas_adj;Quel'thalasian;;quel'thalaser;;;;;;;;;;;x
e_shekmag;Shek'mag;Shek'mag;Shek'mag;;Shek'mag;;;;;;;;;x
e_shekmag_adj;Shek'magian;;shek'mager;;;;;;;;;;;x
e_storm_peaks;Storm Peaks;Storm Peaks;Storm Peaks;;Storm Peaks;;;;;;;;;x
e_storm_peaks_adj;Storm Peaksian;;Storm Peakser;;;;;;;;;;;x
e_taunka_wastelands;Taunka Wastelands;Taunka Wastelands;Taunka Wastelands;;Taunka Wastelands;;;;;;;;;x
e_taunka_wastelands_adj;Taunka Wastelandsian;;Taunka Wastelandser;;;;;;;;;;;x
e_uldum;Uldum;Uldum;Uldum;;Uldum;;;;;;;;;x
e_uldum_adj;Uldumian;;uldumer;;;;;;;;;;;x
e_utgarde;Utgarde;Utgarde;Utgarde;;Utgarde;;;;;;;;;x
e_utgarde_adj;Utgardean;;utgarder;;;;;;;;;;;x
e_yulin;Yulin;Yulin;Yulin;;Yulin;;;;;;;;;x
e_yulin_adj;Yulinian;;yuliner;;;;;;;;;;;x
e_zandalari;Zandalari;Zandalari;Zandalari;;Zandalari;;;;;;;;;x
e_zandalari_adj;Zandalarian;;zandalarer;;;;;;;;;;;x
e_zulfarrak;Zul'farrak;Zul'farrak;Zul'farrak;;Zul'farrak;;;;;;;;;x
e_zulfarrak_adj;Zul'farrakian;;zul'farraker;;;;;;;;;;;x
