#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_wcduel_130;У вас [Root.duel_hp.GetValue]/[Root.duel_max_hp.GetValue] здоровья. У противника [target_duel_enemy.duel_hp.GetValue]/[target_duel_enemy.duel_max_hp.GetValue] здоровья. [Root.GetCombatActionDescription];;;;;;;;;;;;;x
GetCombatActionDescription_action_magic_attack_avoided;[target_duel_enemy.GetFirstName] пыта[target_duel_enemy.GetLasLsya] нанести Вам Магический Урон, но вы успешно избежали заклинания.;;;;;;;;;;;;;x
GetCombatActionDescription_action_physical_attack_avoided;[target_duel_enemy.GetFirstName] пыта[target_duel_enemy.GetLasLsya] нанести Вам Физический Урон, но вы успешно избежали атаки.;;;;;;;;;;;;;x
GetCombatActionDescription_action_escape;[target_duel_enemy.GetFirstName] пыта[target_duel_enemy.GetLasLsya] сбежать в поля боя, но не смог[target_duel_enemy.GetEndA].;;;;;;;;;;;;;x
GetCombatActionDescription_action_magic_attack;[target_duel_enemy.GetFirstName] использовал[target_duel_enemy.GetEndA] заклинание и нанес[target_duel_enemy.GetEndA] вам Магический Урон.;;;;;;;;;;;;;x
GetCombatActionDescription_action_physical_attack;[target_duel_enemy.GetFirstName] напал[target_duel_enemy.GetEndA] на Вас и нанес[target_duel_enemy.GetEndA] вам Физический Урон.;;;;;;;;;;;;;x
GetCombatActionDescription_action_magic_shield;[target_duel_enemy.GetFirstName] защитил[target_duel_enemy.GetEndA] себя от урона, используя магически щит.;;;;;;;;;;;;;x
GetCombatActionDescription_action_increased_defence;[target_duel_enemy.GetFirstName] увеличил[target_duel_enemy.GetEndA] свою защиту, используя одну из своих способностей.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
ability_arcane_blast;Чародейская вспышка;;;;;;;;;;;;;x
ability_arcane_blast_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_cobra_shot;Выстрел кобры;;;;;;;;;;;;;x
ability_cobra_shot_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;;x
ability_furious_slash;Неистовый удар;;;;;;;;;;;;;x
ability_furious_slash_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;;x
ability_crusader_strike;Удар воина Света;;;;;;;;;;;;;x
ability_crusader_strike_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;;x
ability_smite;Кара;;;;;;;;;;;;;x
ability_smite_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_mind_blast;Взрыв разума;;;;;;;;;;;;;x
ability_mind_blast_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_sinister_strike;Коварный удар;;;;;;;;;;;;;x
ability_sinister_strike_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;;x
ability_shadow_bolt;Стрела Тьмы;;;;;;;;;;;;;x
ability_shadow_bolt_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_lightning_bolt;Молния;;;;;;;;;;;;;x
ability_lightning_bolt_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_solar_wrath;Солнечный гнев;;;;;;;;;;;;;x
ability_solar_wrath_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_shred;Полоснуть;;;;;;;;;;;;;x
ability_shred_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;;x
ability_mangle;Увечье;;;;;;;;;;;;;x
ability_mangle_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;,;x
ability_wrath_of_the_loa;Гнев Лоа;;;;;;;;;;;;;x
ability_wrath_of_the_loa_desc;Наносит Магический Урон врагу.;;;;;;;;;;;;;x
ability_death_strike;Удар смерти;;;;;;;;;;;;;x
ability_death_strike_desc;Наносит Физический Урон врагу.;;;;;;;;;;;;;x
ability_death_coil;Лик смерти;;;;;;;;;;;;;x
ability_mana_shield;Щит маны;;;;;;;;;;;;;x
ability_mana_shield_desc;Дает 50% шанс, что следующий Урон будет полностью поглощен.\nВосстановление: 2 хода.;;;;;;;;;;;;;x
ability_beast_agility;Ловкость зверя;;;;;;;;;;;;;x
ability_beast_agility_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;,;x
ability_defensive_stance;Оборонительная стойка;;;;;;;;;;;;;x
ability_defensive_stance_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;,;x
ability_divine_shield;Божественный щит;;;;;;;;;;;;,;x
ability_divine_shield_desc;Дает 50% шанс, что следующий Урон будет полностью поглощен.\nВосстановление: 2 хода.;;;;;;;;;;;;;x
ability_power_word_shield;Слово силы: Щит;;;;;;;;;;;,;;x
