#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
farm_1_desc;This is where the crops for your country are made.;;;;;;;;;;;;;x
mine_1_desc;A deep network of tunnels and digging sites with the sole purpos of bringing riches from under the ground.;;;;;;;;;;;;;
lumber_mill_1_desc;Lumber gets processed to be used in diverse industries.;;;;;;;;;;;;;
tavern_1_desc;A place where heroes and common men alike gather and enjoy a good drink;;;;;;;;;;;;;
ca_village_1;Hamlet;;Ortschaft;;;;;;;;;;;
ca_village_2;Village;;Dorf;;;;;;;;;;;
ca_village_3;Town;;Stadt;;;;;;;;;;;
ca_village_4;City;;Grossstadt;;;;;;;;;;;
ca_village_5;Metropolis;;Metropole;;;;;;;;;;;
ca_village_1_desc;A small village with a few people walking the streets and going on their daily busines.;;;;;;;;;;;;;
ca_village_2_desc;People can be seen walking on the streets of this village rather frequently and shops are being used from time to time.;;;;;;;;;;;;;
ca_village_3_desc;Merchants coming from far and away are now using the roads of this town to bring their wares and the streets are busy;;;;;;;;;;;;;
ca_village_4_desc;Shops can be found in most places now and the streets are alive both at day and at night.;;;;;;;;;;;;;
ca_village_5_desc;The roads of this metropolis are swarming with people, shops can be seen in every corner and there is oppertunity wherever you go.;;;;;;;;;;;;;
ca_garden_1;Garden;;Garten;;;;;;;;;;;
ca_garden_2;Garden;;Garten;;;;;;;;;;;
ca_garden_3;Garden;;Garten;;;;;;;;;;;
ca_garden_4;Garden;;Garten;;;;;;;;;;;
ca_garden_5;Garden;;Garten;;;;;;;;;;;
ca_garden_6;Garden;;Garten;;;;;;;;;;;
garden_1_desc;A public garden that calms everyone visiting it.;;;;;;;;;;;;;
ca_marketplace_1;Marketplace;;Marktplatz;;;;;;;;;;;
ca_marketplace_2;Marketplace;;Marktplatz;;;;;;;;;;;
ca_marketplace_3;Marketplace;;Marktplatz;;;;;;;;;;;
ca_marketplace_4;Marketplace;;Marktplatz;;;;;;;;;;;
ca_marketplace_5;Marketplace;;Marktplatz;;;;;;;;;;;
ca_marketplace_6;Marketplace;;Marktplatz;;;;;;;;;;;
marketplace_1_desc;The center of commerce in the area;;;;;;;;;;;;;
ca_stable_1;Stable;;St?lle;;;;;;;;;;;
ca_stable_2;Stable;;St?lle;;;;;;;;;;;
ca_stable_3;Stable;;St?lle;;;;;;;;;;;
ca_stable_4;Stable;;St?lle;;;;;;;;;;;
ca_stable_5;Stable;;St?lle;;;;;;;;;;;
ca_stable_6;Stable;;St?lle;;;;;;;;;;;
ca_blacksmith_1;Blacksmith;;Schmied;;;;;;;;;;;
ca_blacksmith_2;Blacksmith;;Schmied;;;;;;;;;;;
ca_blacksmith_3;Blacksmith;;Schmied;;;;;;;;;;;
ca_blacksmith_4;Blacksmith;;Schmied;;;;;;;;;;;
blacksmith_1_desc;Soldiers and Workers alike get equipped by the goods produced in this building;;;;;;;;;;;;;
ct_farm_1;Farm;;Farm;;;;;;;;;;;
ct_farm_2;Farm;;Farm;;;;;;;;;;;
ct_farm_3;Farm;;Farm;;;;;;;;;;;
ct_farm_4;Farm;;Farm;;;;;;;;;;;
ct_farm_5;Farm;;Farm;;;;;;;;;;;
ct_farm_6;Farm;;Farm;;;;;;;;;;;
ct_mine_1;Mine;;Mine;;;;;;;;;;;
ct_mine_2;Mine;;Mine;;;;;;;;;;;
ct_mine_3;Mine;;Mine;;;;;;;;;;;
ct_mine_4;Mine;;Mine;;;;;;;;;;;
